符号,货币,国家和地区,ISO代码,辅助单位[9],进位制,软件开发状态,货币状态,鉴伪状态,备注,Unnamed: 10
$,北马里亚纳群岛元[3],北马里亚纳群岛[2],无,分,100,,,,,
$,基里巴斯元[3],基里巴斯,无,分,100,,,,,
$,密克罗尼西亚元 [3],密克罗尼西亚联邦,无,分,100,,,,,
$,瑙鲁元[3],瑙鲁,无,分,100,,,,,
$,图瓦卢元,图瓦卢,无,分,100,,,,,
$,科科斯群岛元[3],科科斯群岛[2],无,分,100,,,,,
$,库克群岛元,库克群岛[2],无,分,100,初步开发,货币不全,鉴伪不全,"缺15版5；
缺16版100；",
$,纽埃元[3],纽埃[2],无,分,100,初步开发,货币不全,鉴伪不全,"缺15版5；
缺16版100；",
$,英属维尔京群岛元[3],英属维尔京群岛[2],无,分,100,初步开发,,,,
£,曼岛镑,曼岛[2],无,便士,100,,,,,
£,泽西镑,泽西岛[2],无,便士,100,,,,,
£,根西岛镑,根西岛[2],无,便士,100,,,,,
£,阿森松镑[3],阿森松岛[2],无,便士,100,,,,,
£,特里斯坦达库尼亚镑[3],崔斯坦达库尼亚[4],无,便士,100,初步开发,,,,
£,南乔治亚和南桑德韦奇群岛镑[3],"南乔治亚和
南桑德韦奇群岛[2]",无,便士,100,初步开发,,,,
Sh,先令,索马里兰[1],无,分,100,,,,,
