符号,货币,国家和地区,ISO代码,辅助单位[9],进位制,软件开发状态,货币状态,鉴伪状态,备注,Unnamed: 10
$,美元,美国（及其所有海外领土）,USD,分,100,初步开发,,,,
$,美元,萨尔瓦多,USD,分,100,初步开发,,,,
$,美元,荷兰（加勒比海部分）,USD,分,100,初步开发,,,,
$,美元,东帝汶,USD,分,100,初步开发,,,,
$,美元,厄瓜多尔,USD,分,100,初步开发,,,,
$,美元,特克斯和凯科斯群岛[2],USD,分,100,初步开发,,,,
$,美元,英属印度洋领地 [2],USD,分,100,初步开发,,,,
$,美元,巴拿马,USD,分,100,初步开发,,,,
$,美元,马绍尔群岛,USD,分,100,初步开发,,,,
$,美元,帕劳,USD,分,100,初步开发,,,,
$,纳米比亚元,纳米比亚,NAD,分,100,,,,,
$,北马里亚纳群岛元[3],北马里亚纳群岛[2],无,分,100,,,,,
$,文莱元(B$),文莱,BND,分,100,初步开发,货币不全,未做鉴伪,"缺07版20；
缺20版50；
缺06版1000；
缺06版10000；",
$,新加坡元,新加坡,SGD,分,100,初步开发,,,文莱和新加坡货币互相通用,
$,澳元,澳大利亚,AUD,分,100,初步开发,,,,
$,澳元,图瓦卢[2],AUD,分,100,初步开发,,,,
$,斐济元,斐济,FJD,分,100,,,,,
$,澳大利亚元,基里巴斯,AUD,分,100,初步开发,,,,
$,基里巴斯元[3],基里巴斯,无,分,100,,,,,
$,密克罗尼西亚元 [3],密克罗尼西亚联邦,无,分,100,,,,,
$,美元,密克罗尼西亚联邦,USD,分,100,初步开发,,,,
$,澳大利亚元,瑙鲁,AUD,分,100,初步开发,,,,
$,瑙鲁元[3],瑙鲁,无,分,100,,,,,
$,图瓦卢元,图瓦卢,无,分,100,,,,,
$,澳大利亚元,科科斯群岛[2],AUD,分,100,初步开发,,,,
$,科科斯群岛元[3],科科斯群岛[2],无,分,100,,,,,
$,新西兰元(NZ$),新西兰,NZD,分,100,初步开发,货币不全,鉴伪不全,"缺15版5；
缺16版100；",
$,新西兰元(NZ$),皮特肯群岛[2],NZD,分,100,初步开发,货币不全,鉴伪不全,"缺15版5；
缺16版100；",
$,新西兰元,库克群岛[2],NZD,分,100,初步开发,货币不全,鉴伪不全,"缺15版5；
缺16版100；",
$,库克群岛元,库克群岛[2],无,分,100,初步开发,货币不全,鉴伪不全,"缺15版5；
缺16版100；",
$,新西兰元,纽埃[2],NZD,分,100,初步开发,货币不全,鉴伪不全,"缺15版5；
缺16版100；",
$,纽埃元[3],纽埃[2],无,分,100,初步开发,货币不全,鉴伪不全,"缺15版5；
缺16版100；",
